execution	target_folder	target_label	sampled_reads_R	sampled_reads_mapped	sampled_reads_canonical_confirmed	median_divergence_aligned_pct	q25_divergence_aligned_pct	q75_divergence_aligned_pct	median_query_coverage_pct	reads_coverage_ge_70	reads_coverage_ge_80	reads_coverage_ge_90
Lib2barcode28	montagens_CALHV3	CalHV3	300	57	57	3.4146341463414633	2.4630541871921183	5.128205128205129	88.646288209607	56	51	13
Lib2barcode30	montagens_CALHV3	CalHV3	300	118	118	3.349282296650718	2.193830805252978	5.065666041275797	89.89006105572301	114	107	55
Lib2barcode31	montagens_CALHV3	CalHV3	300	105	105	4.368932038834951	2.8708133971291865	6.806282722513089	90.33816425120773	103	102	59
Lib2barcode32	montagens_CALHV3	CalHV3	300	99	99	4.109589041095891	2.6342058562555457	6.142960812772134	88.79310344827586	94	89	39
Lib2barcode34	montagens_CALHV3	CalHV3	279	209	209	4.285714285714286	2.6881720430107525	7.177033492822966	88.69565217391305	208	195	85
Lib2barcode37	montagens_CALHV3	CalHV3	300	132	132	3.8096101952425228	2.531694003009974	7.153894413978994	89.80039331366766	129	127	58
Lib2barcode37	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib2barcode40	montagens_CALHV3	CalHV3	277	112	112	3.8648244958924574	2.642349244846213	5.499446107431588	89.93430628974181	109	109	54
Lib2barcode43	montagens_CALHV3	CalHV3	300	80	80	6.698717948717949	5.633830455259027	8.894389438943895	89.75496031746032	77	75	37
Lib2barcode45	montagens_CALHV3	CalHV3	300	132	132	4.411870719692419	2.930520034100597	9.366246498599441	89.53322219576089	131	129	61
Lib2barcode45	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib2barcode46	montagens_CALHV3	CalHV3	300	107	107	4.30622009569378	2.934143191926921	6.295731707317073	90.0	107	102	54
Lib2barcode46	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib2barcode47	montagens_CALHV3	CalHV3	300	99	99	6.666666666666667	4.926108374384237	8.62094090787652	89.1891891891892	97	91	39
Lib2barcode48	montagens_CALHV3	CalHV3	300	98	98	6.765149610258989	5.689935064935065	8.532035175879397	89.93392070484582	95	91	49
Lib2barcode50	montagens_CALHV3	CalHV3	300	84	84	4.030456852791878	2.9889162561576352	5.567529591083379	89.93221690590111	81	78	39
Lib2barcode51	montagens_CALHV3	CalHV3	300	60	60	3.349282296650718	2.4630541871921183	4.522415762421474	89.93430628974181	59	56	27
Lib2barcode51	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib2barcode52	montagens_CALHV3	CalHV3	300	93	93	5.769230769230769	4.522613065326633	8.056872037914692	89.60396039603961	93	87	44
Lib2barcode53	montagens_consenso_H1	H1_internal	300	204	204	7.0330010047144285	5.536529680365296	9.298219095256417	97.82134042149231	185	184	175
Lib2barcode54	montagens_CALHV3	CalHV3	300	4	4	3.5816814764183187	2.645369705671213	5.717816730538107	70.25913275913275	2	1	1
Lib2barcode55	montagens_CALHV3	CalHV3	300	51	51	3.6082474226804124	2.577319587628866	4.890238653211536	88.73873873873873	48	44	20
Lib2barcode56	montagens_CALHV3	CalHV3	300	66	66	7.091035341442391	5.557291666666667	8.787128712871288	89.86342750170184	66	64	27
Lib2barcode57	montagens_CALHV3	CalHV3	300	105	105	4.975124378109452	3.225806451612903	7.5	89.95433789954338	102	99	51
Lib2barcode64	montagens_CALHV3	CalHV3	300	90	90	4.296162960262486	3.0808881839809676	6.159314619030259	89.91228070175438	88	84	44
Lib2barcode65	montagens_CALHV3	CalHV3	300	102	102	5.851229380641145	3.8416871835369535	10.148902821316614	88.67097019176002	96	86	36
Lib2barcode67	montagens_CALHV3	CalHV3	300	106	106	4.708849532995205	3.0345024089519765	6.8919905126801675	89.18154761904762	104	100	49
Lib2barcode70	montagens_CALHV3	CalHV3	300	150	150	4.102671996633704	2.955665024630542	5.576703464027407	89.86784140969164	145	141	70
Lib2barcode71	montagens_CALHV3	CalHV3	300	108	108	3.8754492302740973	2.418474473916477	6.905852793378658	89.19379719087439	107	100	45
Lib2barcode72	montagens_CALHV3	CalHV3	300	116	116	3.827751196172249	2.792346542346542	5.783233756534727	89.89006105572301	113	110	49
Lib2barcode73	montagem_LIB_3_HSV6	HSV6	300	0	0					0	0	0
Lib2barcode73	montagens_CALHV3	CalHV3	300	97	97	7.246376811594203	6.372549019607843	8.374384236453203	89.86784140969164	89	85	43
Lib2barcode75	montagens_CALHV3	CalHV3	300	36	36	7.481715508234241	5.609243697478991	9.135254988913527	89.65116279069767	35	33	18
Lib2barcode75	montagens_consenso_H1	H1_internal	300	5	5	10.572687224669604	7.488986784140969	11.11111111111111	97.84482758620689	4	4	3
Lib2barcode76	montagens_Alouatta_macconnelli_cytomegalovirus	AmacCMV	300	26	26	10.232558139534884	9.243057123504178	11.388329979879275	93.80530973451327	26	26	22
Lib2barcode76	montagens_Alouatta_palliata_cytomegalovirus	ApalCMV	300	45	45	10.0	9.137055837563452	11.616161616161616	85.77777777777777	43	36	3
Lib2barcode77	montagens_CALHV3	CalHV3	300	0	0					0	0	0
Lib2barcode79	montagens_CALHV3	CalHV3	300	95	95	3.389830508474576	2.051335998316852	4.784688995215311	89.95633187772926	94	86	46
Lib2barcode79	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib2barcode81	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	300	128	128	5.817029654238956	4.730642050151557	8.355263157894736	88.03827751196172	124	110	16
Lib2barcode82	montagens_Alouatta_macconnelli_cytomegalovirus	AmacCMV	300	5	5	10.232558139534884	9.389671361502348	10.471204188481675	95.08928571428571	5	4	4
Lib2barcode82	montagens_Alouatta_palliata_cytomegalovirus	ApalCMV	300	10	10	10.05050505050505	9.260199285579997	11.276515151515152	86.44444444444444	9	7	1
Lib2barcode85	montagens_CALHV3	CalHV3	300	104	104	6.829430801446792	5.846554582050675	8.51078167115903	90.16151332327803	102	94	54
Lib2barcode86	montagens_CALHV3	CalHV3	300	111	111	4.040404040404041	2.891717378176244	6.186970923813029	89.91228070175438	109	103	50
Lib2barcode87	montagens_CALHV3	CalHV3	192	89	89	4.901960784313726	3.5	7.8431372549019605	89.47368421052632	87	83	35
Lib2barcode89	montagens_CALHV3	CalHV3	300	185	185	3.409090909090909	2.5	5.2631578947368425	90.54054054054055	180	173	94
Lib2barcode90	montagens_CALHV3	CalHV3	300	99	99	4.819277108433735	3.313985410620441	6.909257802255442	90.0	97	95	50
Lib2barcode91	montagens_CALHV3	CalHV3	300	53	53	6.698564593301436	5.741626794258373	8.333333333333334	90.82969432314411	50	44	28
Lib2barcode95	montagem_LIB_3_HSV6	HSV6	300	215	215	8.457711442786069	6.796116504854369	10.096153846153847	89.91228070175438	199	170	94
Lib2barcode95	montagem_LIB_3_HSV7	HSV7	300	15	15	1.1627906976744187	0.5763736628795428	3.2705045782193647	76.3157894736842	13	4	0
Lib2barcode95	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib3barcode01	montagens_CALHV3	CalHV3	300	95	95	6.111111111111111	5.025252525252525	9.973042294807371	88.94009216589862	82	76	39
Lib3barcode02	montagens_CALHV3	CalHV3	300	0	0					0	0	0
Lib3barcode03	montagens_CALHV3	CalHV3	300	107	107	4.060913705583756	2.3923444976076556	7.6696888017642735	88.69565217391305	79	74	42
Lib3barcode09	montagens_CALHV3	CalHV3	300	90	90	3.3736702745389513	2.3838004101161996	6.272644927536232	91.02949626508331	81	76	48
Lib3barcode10	montagens_CALHV3	CalHV3	300	111	111	6.875	5.48659137270511	10.785950850240738	88.88888888888889	97	90	43
