execution	input_reads	mapped_any_target	mapped_fraction	multitarget_reads	multitarget_fraction_of_mapped	tied_best_AS_reads	tied_fraction_of_mapped	has_multitarget	has_tied_best
Lib2barcode14	1962	659	0.33588175	0	0.0	0	0.0	0	0
Lib2barcode15	1948	423	0.21714579	0	0.0	0	0.0	0	0
Lib2barcode16	2018	0	0.0	0		0		0	0
Lib2barcode17	1930	478	0.24766839	0	0.0	0	0.0	0	0
Lib2barcode18	2854	329	0.1152768	0	0.0	0	0.0	0	0
Lib2barcode19	1878	289	0.15388711	0	0.0	0	0.0	0	0
Lib2barcode20	1876	158	0.08422175	0	0.0	0	0.0	0	0
Lib2barcode21	2033	453	0.22282341	0	0.0	0	0.0	0	0
Lib2barcode22	1285	371	0.28871595	0	0.0	0	0.0	0	0
Lib2barcode23	3562	311	0.0873105	0	0.0	0	0.0	0	0
Lib2barcode24	3193	1	0.00031319	0	0.0	0	0.0	0	0
Lib2barcode25	987	274	0.27760892	0	0.0	0	0.0	0	0
Lib2barcode26	1441	391	0.27133935	0	0.0	0	0.0	0	0
Lib2barcode27	2835	123	0.04338624	0	0.0	0	0.0	0	0
Lib2barcode28	1098	87	0.07923497	0	0.0	0	0.0	0	0
Lib2barcode29	1056	0	0.0	0		0		0	0
Lib2barcode30	2587	608	0.23502126	0	0.0	0	0.0	0	0
Lib2barcode31	1524	313	0.20538058	0	0.0	0	0.0	0	0
Lib2barcode32	1173	218	0.18584825	0	0.0	0	0.0	0	0
Lib2barcode33	2845	0	0.0	0		0		0	0
Lib2barcode34	385	216	0.56103896	0	0.0	0	0.0	0	0
Lib2barcode35	2318	0	0.0	0		0		0	0
Lib2barcode36	4377	0	0.0	0		0		0	0
Lib2barcode37	1145	318	0.27772926	0	0.0	0	0.0	0	0
Lib2barcode38	2399	0	0.0	0		0		0	0
Lib2barcode39	3072	0	0.0	0		0		0	0
Lib2barcode40	500	121	0.242	0	0.0	0	0.0	0	0
Lib2barcode41	4358	0	0.0	0		0		0	0
Lib2barcode42	1574	0	0.0	0		0		0	0
Lib2barcode43	2817	371	0.13170039	0	0.0	0	0.0	0	0
Lib2barcode44	1195	0	0.0	0		0		0	0
Lib2barcode45	1514	415	0.27410832	0	0.0	0	0.0	0	0
Lib2barcode46	1993	410	0.20572002	0	0.0	0	0.0	0	0
Lib2barcode47	1473	199	0.13509844	0	0.0	0	0.0	0	0
Lib2barcode48	1228	231	0.18811075	0	0.0	0	0.0	0	0
Lib2barcode49	2435	0	0.0	0		0		0	0
Lib2barcode50	2766	317	0.11460593	0	0.0	0	0.0	0	0
Lib2barcode51	2572	199	0.0773717	0	0.0	0	0.0	0	0
Lib2barcode52	1079	247	0.22891566	0	0.0	0	0.0	0	0
Lib2barcode53	1742	776	0.44546498	0	0.0	0	0.0	0	0
Lib2barcode54	2042	15	0.00734574	0	0.0	0	0.0	0	0
Lib2barcode55	2086	176	0.084372	0	0.0	0	0.0	0	0
Lib2barcode56	3282	344	0.10481414	0	0.0	0	0.0	0	0
Lib2barcode57	1285	183	0.14241245	0	0.0	0	0.0	0	0
Lib2barcode58	3947	0	0.0	0		0		0	0
Lib2barcode59	983	0	0.0	0		0		0	0
Lib2barcode60	1752	0	0.0	0		0		0	0
Lib2barcode61	2752	0	0.0	0		0		0	0
Lib2barcode62	2900	0	0.0	0		0		0	0
Lib2barcode63	2467	0	0.0	0		0		0	0
Lib2barcode64	1015	127	0.12512315	0	0.0	0	0.0	0	0
Lib2barcode65	1372	248	0.18075802	0	0.0	0	0.0	0	0
Lib2barcode66	3154	0	0.0	0		0		0	0
Lib2barcode67	986	121	0.12271805	0	0.0	0	0.0	0	0
Lib2barcode68	1990	0	0.0	0		0		0	0
Lib2barcode69	1221	0	0.0	0		0		0	0
Lib2barcode70	848	244	0.28773585	0	0.0	0	0.0	0	0
Lib2barcode71	1743	389	0.22317843	0	0.0	0	0.0	0	0
Lib2barcode72	1303	316	0.24251727	0	0.0	0	0.0	0	0
Lib2barcode73	2452	408	0.16639478	0	0.0	0	0.0	0	0
Lib2barcode74	2610	0	0.0	0		0		0	0
Lib2barcode75	2575	192	0.07456311	0	0.0	0	0.0	0	0
Lib2barcode76	749	60	0.08010681	37	0.61666667	3	0.05	1	1
Lib2barcode77	2361	1	0.00042355	0	0.0	0	0.0	0	0
Lib2barcode78	6485	0	0.0	0		0		0	0
Lib2barcode79	2369	328	0.13845504	0	0.0	0	0.0	0	0
Lib2barcode80	392	0	0.0	0		0		0	0
Lib2barcode81	2655	630	0.23728814	0	0.0	0	0.0	0	0
Lib2barcode82	1243	30	0.02413516	15	0.5	4	0.13333333	1	1
Lib2barcode83	1460	0	0.0	0		0		0	0
Lib2barcode84	731	0	0.0	0		0		0	0
Lib2barcode85	719	127	0.17663421	0	0.0	0	0.0	0	0
Lib2barcode86	1248	230	0.18429487	0	0.0	0	0.0	0	0
Lib2barcode87	361	102	0.28254848	0	0.0	0	0.0	0	0
Lib2barcode88	884	0	0.0	0		0		0	0
Lib2barcode89	1494	534	0.35742972	0	0.0	0	0.0	0	0
